retailer_id,territory_id,state,district,tehsil,sales_demand_score,stock_alert_score,last_visit_gap_score,product_relevance_score,grower_engagement_score,visit_priority_score,priority_level,recommended_product,recommended_action,explanation
RTL_01994,TER_0252,Madhya Pradesh,Ujjain,Ujjain_T093,100.0,67.25543478260869,100.0,80.82191780821918,3.571428571428571,79.2942892240279,High,Amistar 250 SC,Visit retailer urgently and discuss restocking of Amistar 250 SC.,Recent sales demand is high | This area has not been visited recently | Recommended product has strong recent demand
RTL_01592,TER_0201,Uttar Pradesh,Varanasi,Varanasi_T073,76.70850767085076,76.08695652173913,100.0,62.328767123287676,3.571428571428571,71.74074935732602,High,Movondo,Visit retailer urgently and discuss restocking of Movondo.,Recent sales demand is high | Current retailer stock is low | This area has not been visited recently
RTL_01681,TER_0212,West Bengal,Bardhaman,Bardhaman_T070,52.16178521617852,86.1413043478261,81.13207547169812,94.17808219178082,1.7857142857142856,67.71556050348826,High,Actara 25 WG,Visit retailer urgently and discuss restocking of Actara 25 WG.,Current retailer stock is low | This area has not been visited recently | Recommended product has strong recent demand
RTL_03549,TER_0447,Punjab,Ludhiana,Ludhiana_T139,50.767085076708504,65.89673913043478,100.0,100.0,1.7857142857142856,66.88288173419268,High,Vibrance Integral,Visit retailer urgently and discuss restocking of Vibrance Integral.,This area has not been visited recently | Recommended product has strong recent demand
RTL_02323,TER_0293,Karnataka,Vijayapura,Vijayapura_T085,54.95118549511855,70.92391304347825,98.11320754716981,77.73972602739725,3.571428571428571,65.85707718009154,High,Movondo,Visit retailer urgently and discuss restocking of Movondo.,Current retailer stock is low | This area has not been visited recently | Recommended product has strong recent demand
RTL_00929,TER_0116,Maharashtra,Amravati,Amravati_T037,32.357043235704325,93.07065217391305,100.0,78.08219178082192,5.357142857142857,65.22281906702713,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently | Recommended product has strong recent demand
RTL_03870,TER_0484,Punjab,Bathinda,Bathinda_T168,35.98326359832636,82.06521739130434,100.0,81.16438356164383,1.7857142857142856,63.664512390141994,High,Cruiser 350 FS,Visit retailer urgently and discuss restocking of Cruiser 350 FS.,Current retailer stock is low | This area has not been visited recently | Recommended product has strong recent demand
RTL_00457,TER_0059,West Bengal,Nadia,Nadia_T016,56.903765690376574,75.0,100.0,47.26027397260274,3.571428571428571,63.267313660146236,High,Movondo,Visit retailer urgently and discuss restocking of Movondo.,Current retailer stock is low | This area has not been visited recently
RTL_00647,TER_0083,Maharashtra,Amravati,Amravati_T020,44.63040446304045,96.05978260869566,100.0,32.19178082191781,1.7857142857142856,62.41140554294515,High,Axial 50 EC,Visit retailer urgently and discuss restocking of Axial 50 EC.,Current retailer stock is low | This area has not been visited recently
RTL_02384,TER_0301,Rajasthan,Bharatpur,Bharatpur_T107,29.9860529986053,84.78260869565217,100.0,46.917808219178085,51.78571428571429,62.407710734942775,High,Topik 15 WP,Visit retailer urgently and discuss restocking of Topik 15 WP.,Current retailer stock is low | This area has not been visited recently
